2022-05-23 01:01:41,135 [main] INFO  [com.codergo.mississippi.blog.admin.JasyptTest] StartupInfoLogger.java:55 - Starting JasyptTest using Java 1.8.0_291 on 192.168.1.9 with PID 70258 (started by shaofengwan in /Users/shaofengwan/workspace/mississippi-blog-cloud/mississippi-blog-application/mississippi-blog-admin/mississippi-blog-admin-biz)
2022-05-23 01:01:41,137 [main] INFO  [com.codergo.mississippi.blog.admin.JasyptTest] SpringApplication.java:646 - The following 1 profile is active: "dev"
2022-05-23 01:01:41,143 [background-preinit] INFO  [org.hibernate.validator.internal.util.Version] Version.java:21 - HV000001: Hibernate Validator 6.0.7.Final
2022-05-23 01:01:42,860 [main] INFO  [c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor] EnableEncryptablePropertiesBeanFactoryPostProcessor.java:50 - Post-processing PropertySource instances
2022-05-23 01:01:42,958 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy
2022-05-23 01:01:42,960 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource test [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2022-05-23 01:01:42,961 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource Inlined Test Properties [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2022-05-23 01:01:42,961 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource servletConfigInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
2022-05-23 01:01:42,962 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource servletContextInitParams [org.springframework.web.context.support.ServletContextPropertySource] to EncryptableEnumerablePropertySourceWrapper
2022-05-23 01:01:42,963 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
2022-05-23 01:01:42,963 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableMapPropertySourceWrapper
2022-05-23 01:01:42,963 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
2022-05-23 01:01:42,964 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource Config resource 'class path resource [application-dev.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
2022-05-23 01:01:42,964 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource Config resource 'class path resource [application.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
2022-05-23 01:01:43,051 [main] INFO  [c.u.j.filter.DefaultLazyPropertyFilter] DefaultLazyPropertyFilter.java:31 - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
2022-05-23 01:01:43,431 [main] INFO  [c.u.j.resolver.DefaultLazyPropertyResolver] DefaultLazyPropertyResolver.java:31 - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
2022-05-23 01:01:43,438 [main] INFO  [c.u.j.detector.DefaultLazyPropertyDetector] DefaultLazyPropertyDetector.java:30 - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
2022-05-23 01:01:45,855 [main] WARN  [o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration] ThymeleafAutoConfiguration.java:104 - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2022-05-23 01:01:46,544 [main] WARN  [s.d.s.r.operation.OperationImplicitParameterReader] OperationImplicitParameterReader.java:170 - Unable to interpret the implicit parameter configuration with dataType: , dataTypeClass: class java.lang.Void
2022-05-23 01:01:46,765 [main] INFO  [com.codergo.mississippi.blog.admin.JasyptTest] StartupInfoLogger.java:61 - Started JasyptTest in 6.222 seconds (JVM running for 8.519)
2022-05-23 01:01:46,875 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:32 - String Encryptor custom Bean not found with name 'jasyptStringEncryptor'. Initializing Default String Encryptor
2022-05-23 01:01:46,900 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.algorithm, using default value: PBEWithMD5AndDES
2022-05-23 01:01:46,901 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.keyObtentionIterations, using default value: 1000
2022-05-23 01:01:46,903 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.poolSize, using default value: 1
2022-05-23 01:01:46,904 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.providerName, using default value: null
2022-05-23 01:01:46,905 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.providerClassName, using default value: null
2022-05-23 01:01:46,906 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.saltGeneratorClassname, using default value: org.jasypt.salt.RandomSaltGenerator
2022-05-23 01:01:46,919 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.stringOutputType, using default value: base64
2022-05-23 01:01:47,160 [main] INFO  [com.codergo.mississippi.blog.admin.JasyptTest] JasyptTest.java:24 - url:XgvigACnU02uHwZKoPQOwgSMSSsvoTpqIy70okZx+tB9tfZJ20RyzDA8mk9lNXw2wMb0lqzbn+Odz43xX1+y7cD+oVwtuw0fABIRwmLM4gUecpWwydAQDSFo1Ha0GP1ltJU2UlKLoA0PsquVKD8cj8WksKHJ1nrF7jm3XDa3g5m1d1hr5mpc7Q==, name:FhbxxzFwInc8sUgbCu/kKA==, password:XBILwk1eehSFYtX5e3cbB6JGMSRMg45u
2022-05-23 01:04:16,015 [main] INFO  [com.codergo.mississippi.blog.admin.JasyptTest] StartupInfoLogger.java:55 - Starting JasyptTest using Java 1.8.0_291 on 192.168.1.9 with PID 70363 (started by shaofengwan in /Users/shaofengwan/workspace/mississippi-blog-cloud/mississippi-blog-application/mississippi-blog-admin/mississippi-blog-admin-biz)
2022-05-23 01:04:16,018 [main] INFO  [com.codergo.mississippi.blog.admin.JasyptTest] SpringApplication.java:646 - The following 1 profile is active: "dev"
2022-05-23 01:04:16,025 [background-preinit] INFO  [org.hibernate.validator.internal.util.Version] Version.java:21 - HV000001: Hibernate Validator 6.0.7.Final
2022-05-23 01:04:17,869 [main] INFO  [c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor] EnableEncryptablePropertiesBeanFactoryPostProcessor.java:50 - Post-processing PropertySource instances
2022-05-23 01:04:17,985 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy
2022-05-23 01:04:18,037 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource test [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2022-05-23 01:04:18,124 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource Inlined Test Properties [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2022-05-23 01:04:18,125 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource servletConfigInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
2022-05-23 01:04:18,125 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource servletContextInitParams [org.springframework.web.context.support.ServletContextPropertySource] to EncryptableEnumerablePropertySourceWrapper
2022-05-23 01:04:18,126 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
2022-05-23 01:04:18,126 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableMapPropertySourceWrapper
2022-05-23 01:04:18,127 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
2022-05-23 01:04:18,127 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource Config resource 'class path resource [application-dev.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
2022-05-23 01:04:18,127 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource Config resource 'class path resource [application.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
2022-05-23 01:04:18,213 [main] INFO  [c.u.j.filter.DefaultLazyPropertyFilter] DefaultLazyPropertyFilter.java:31 - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
2022-05-23 01:04:18,684 [main] INFO  [c.u.j.resolver.DefaultLazyPropertyResolver] DefaultLazyPropertyResolver.java:31 - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
2022-05-23 01:04:18,688 [main] INFO  [c.u.j.detector.DefaultLazyPropertyDetector] DefaultLazyPropertyDetector.java:30 - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
2022-05-23 01:04:21,360 [main] WARN  [o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration] ThymeleafAutoConfiguration.java:104 - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2022-05-23 01:04:22,009 [main] WARN  [s.d.s.r.operation.OperationImplicitParameterReader] OperationImplicitParameterReader.java:170 - Unable to interpret the implicit parameter configuration with dataType: , dataTypeClass: class java.lang.Void
2022-05-23 01:04:22,356 [main] INFO  [com.codergo.mississippi.blog.admin.JasyptTest] StartupInfoLogger.java:61 - Started JasyptTest in 7.244 seconds (JVM running for 8.751)
2022-05-23 01:04:22,461 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:32 - String Encryptor custom Bean not found with name 'jasyptStringEncryptor'. Initializing Default String Encryptor
2022-05-23 01:04:22,477 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.algorithm, using default value: PBEWithMD5AndDES
2022-05-23 01:04:22,478 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.keyObtentionIterations, using default value: 1000
2022-05-23 01:04:22,478 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.poolSize, using default value: 1
2022-05-23 01:04:22,478 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.providerName, using default value: null
2022-05-23 01:04:22,479 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.providerClassName, using default value: null
2022-05-23 01:04:22,479 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.saltGeneratorClassname, using default value: org.jasypt.salt.RandomSaltGenerator
2022-05-23 01:04:22,488 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.stringOutputType, using default value: base64
2022-05-23 01:04:22,737 [main] INFO  [com.codergo.mississippi.blog.admin.JasyptTest] JasyptTest.java:24 - url:YsJkz8IGGx8WxKAN5sN7rzellnsinyDb3MGFHI3boR52waSK64LXl4xnVh7197a2ochrpgAYVReO3yOz83WU+GrIe66er0i9Z+WcCxOWunObbLWVtkO72vPpmCljTTEfifXk7+YBQQ/7g8JMJNf3LB/zq60Xku+QlwHXpJSBabiTWiXxNU8FcQ==
2022-05-23 01:04:22,737 [main] INFO  [com.codergo.mississippi.blog.admin.JasyptTest] JasyptTest.java:25 - username:egN3vqBP80q3zLkYIzJjrA==
2022-05-23 01:04:22,737 [main] INFO  [com.codergo.mississippi.blog.admin.JasyptTest] JasyptTest.java:26 - password:1yuljJGlrT49EuSOk+QZvGucLXjDLx/F
